logFC	logCPM	PValue	FDR
YHR094C	-9.94527685938881	8.35165543657389	3.15579919883228e-81	1.74641927663378e-77
YKR034W	-8.72265657968345	6.01612428744113	2.07508659400851e-66	5.74176460562155e-63
YDR380W	13.1810851596232	9.0685460295143	7.12340805577925e-65	1.31403133935608e-61
YBR068C	7.69360772864702	8.51304333917704	4.40104174545578e-59	5.52105985998746e-56
YNL142W	-8.21184159745724	12.669924493891	4.98830851101144e-59	5.52105985998746e-56
YDR345C	-7.93336320446719	10.9403321777362	8.85543288910255e-59	8.16766093471559e-56
YDR046C	6.58502319483674	6.89644046149697	1.14621239329609e-51	9.06162769214368e-49
YIL057C	13.7941759571667	6.92190994871264	3.68090197056778e-49	2.54626393814026e-46
YJL212C	-5.71798855503205	6.97957799319546	3.75394038106189e-47	2.30825622986628e-44
YPL095C	-5.68956159386981	9.86721408329397	4.19325945554437e-45	2.32054978269825e-42
YBR069C	5.73970209948172	8.64434889728018	5.02416075236229e-42	2.52760960032481e-39
YOR383C	6.23518383834479	10.7298907223496	2.16481756439701e-40	9.98341700114419e-38
YER091C	-5.02475088662436	12.0232403376596	4.33185192415569e-40	1.8440360421752e-37
YKR039W	-6.16941305687446	12.1150618097998	1.7381270960985e-37	6.87056810700651e-35
YKL217W	9.33311786890764	11.6494115842565	2.06923398742826e-37	7.63409392428532e-35
YGL205W	7.10763743584592	8.0981413128564	5.69623109628633e-37	1.97018393042804e-34
YJR152W	-4.89404261924957	8.14209126997697	7.45114283347333e-36	2.42556614355538e-33
YOR384W	5.68405162185766	5.94263859654523	6.98456797872988e-35	2.14736662190507e-32
YGR067C	8.37794067317061	7.32793117209111	2.1318107612241e-34	6.20917934348115e-32
YML054C	5.19994641541054	8.82797468315788	2.32194198340285e-34	6.42481346807569e-32
YMR206W	6.383449899516	5.4551076294006	4.90747186385961e-34	1.29323568069519e-31
YJR010W	-4.87357048252351	8.66955394513656	7.19963591180247e-34	1.81103568799613e-31
YJL133C-A	-4.62855395269251	8.69347123472926	1.39142093900856e-33	3.34787977237972e-31
YNR002C	7.17143133879263	8.71443084184071	3.44831660442461e-33	7.95124337036908e-31
YCL030C	-4.7190182263034	9.86336809161456	3.78202537258508e-33	8.37189136475433e-31
YIR031C	-4.77243930018922	8.16953274183281	8.13617930033054e-33	1.73175447107805e-30
YHL028W	-5.00088236177505	6.10936638423388	2.47880206261252e-32	5.08062615351766e-30
YMR280C	4.74675504855955	6.36785539205911	8.57082010089787e-32	1.69396137279889e-29
YFR030W	-4.19156259329778	9.47013250770627	9.418203779507e-32	1.79725309364799e-29
YLR092W	-6.29789101043907	8.42969767784954	1.41068383871599e-31	2.60224145448476e-29
