logFC	logCPM	PValue	FDR
YBR294W	-10.6295941564652	7.75833894756013	0	0
YNL142W	-8.47140608881202	11.6217090710099	0	0
YER091C	-5.69770244816602	11.0043836199698	0	0
YLR303W	-5.32095202043565	10.8128836848381	0	0
YHR018C	-4.79726936302331	9.06228957642424	1.23650008348882e-258	1.36855829240543e-255
YKR039W	-7.5755064219236	11.0612455796118	2.08478800057587e-255	1.92286946586448e-252
YIR034C	-4.10686723718854	8.15712368261232	5.30407425408775e-211	4.19324956030309e-208
YJR152W	-4.87550451406217	7.20800497862438	2.1412165762802e-195	1.48118656664183e-192
YBR068C	7.28607423783527	8.46194733023897	5.01839339942909e-193	3.08575434138229e-190
YFR030W	-3.89989556059933	8.5903006008778	3.4499218821121e-192	1.90918676956084e-189
YLR092W	-5.67512225162232	7.46396831647856	7.73665008950487e-182	3.89223832684727e-179
YMR120C	-5.65383836773106	9.80007324814253	4.03012967654551e-175	1.8585614691669e-172
YBR069C	5.8772567681136	9.14661391442085	1.19658489295502e-166	5.09376984431777e-164
YDR046C	7.79025249347824	8.43825203850366	7.18213928786973e-161	2.83899705850508e-158
YOL058W	-6.46292638256565	7.4910202268802	1.82605146250329e-157	6.73691252899547e-155
YJL172W	-3.70762354510382	9.9866474034938	5.21677400281453e-150	1.80435170822348e-147
YJR010W	-4.60463664928193	7.7467797762356	7.90189916564882e-147	2.57230058721768e-144
YJL133C-A	-5.43809785024221	7.68451634972083	4.43508092842768e-140	1.3635409921066e-137
YKL001C	-4.19963474367348	7.36782658472083	5.66266359467933e-138	1.56925084089167e-135
YKR034W	-8.03188656881249	5.09957923930237	5.67130770109024e-138	1.56925084089167e-135
YJL088W	-7.63349646794221	6.54748795918793	4.88231148555238e-127	1.28660532195461e-124
YBR147W	-6.44270700037473	5.17336094257457	1.05486882243238e-126	2.65347457424582e-124
YNL277W	-5.1812785088118	5.99828602053237	6.09667534173655e-123	1.46691310179e-120
YDR508C	4.2771139380915	8.91732259085045	1.31161275234559e-122	3.02436040478354e-120
YCL018W	-3.21141226952733	8.56323277847521	2.26477149952447e-121	5.01329819134736e-119
YPR167C	-4.86983016414274	6.21537500433161	5.56511527421011e-121	1.1845133818261e-118
YKR093W	5.73464158390436	7.43995565346691	2.4990855289467e-117	5.12219974710779e-115
YOR303W	-2.74879570461255	8.61983494293191	1.11004629370276e-112	2.19392721048253e-110
YLR058C	-3.43376369099401	10.8517049997006	5.93461451423478e-103	1.13248816281984e-100
YJR137C	-3.13167803608168	8.70622552531891	3.76500791066715e-101	6.945184592544e-99
YPL265W	4.51864410346634	7.76004124305688	1.80046917827701e-100	3.21412788147902e-98
YCL030C	-3.23102186718165	9.13759306433932	1.68487964605562e-97	2.91378873789743e-95
YIR031C	-3.91498372321646	7.34801865985305	2.00235731310777e-92	3.35789253658739e-90
YER069W	-3.60420181968567	7.47889419594237	1.24301897016468e-86	2.0231961708504e-84
YJR073C	-4.45389178733481	8.83560485555609	1.03385486981215e-84	1.63467224272584e-82
YMR011W	4.78275106580721	8.84929393704319	2.73730904274387e-83	4.20785228959571e-81
YMR088C	-2.57179957658383	8.40495610142702	1.08931920605828e-82	1.6292682395477e-80
YJR109C	-3.01357468623465	7.60783652443765	5.35325745269414e-82	7.79603335347615e-80
YOR375C	-2.81426732993065	10.6143601038847	1.84184645807754e-80	2.61353289717977e-78
YGL125W	-3.38697677525818	6.61164080420452	1.03818001927698e-78	1.4363220566697e-76
YPL095C	-3.66671562478789	9.07055694349394	4.21001255103671e-78	5.68249011157004e-76
YBR092C	3.48144993565965	7.62505818114544	1.05056276872949e-70	1.38424151479738e-68
YCL064C	5.5329034119104	7.9920180435151	9.10982444813908e-70	1.17241322083725e-67
YGR055W	3.58953002851124	8.25841763864167	1.44638370923532e-69	1.81915623793369e-67
YFL021W	-2.69544754812214	7.20441482196805	4.04914525224327e-69	4.97954885020317e-67
YHL036W	-3.40150145157651	5.5719411091546	1.94454980317531e-67	2.33937795886351e-65
YNR050C	-2.39415083955257	9.6212650815156	8.54824975632078e-67	1.00651093939317e-64
YIL165C	-3.73668100283197	5.01136668789849	1.52216253896362e-66	1.7549265605468e-64
YEL063C	-2.11624173727047	8.53799042992994	1.05116716595405e-63	1.18717532579382e-61
YIR017C	-4.79208335350007	4.5872123172362	4.84238032541666e-62	5.35954654417116e-60
YOR348C	-5.25644113817403	5.60188514644345	9.71644213886653e-62	1.05432923130367e-59
YBR291C	-2.88778453725471	6.17224828191656	1.48640806411087e-57	1.58188119745953e-55
YIR032C	-4.02978768149671	4.87437426427748	6.6568198455908e-54	6.95072472179236e-52
YLR413W	2.65584519143975	9.97048292176882	2.57266394237554e-53	2.63650412168634e-51
YLR053C	-9.68838922819438	3.01193608403967	1.29559216659437e-52	1.30360128180604e-50
YGR121C	-3.89917054998008	5.68619647946861	1.82102011048056e-52	1.7995580877499e-50
YNL220W	-2.1519212046658	9.07115507877499	1.43433581575135e-50	1.39256393059087e-48
YHR112C	-2.5867121368233	5.79326795906796	2.69520582435144e-49	2.57159810895877e-47
