GeneID,day2,day2,day2,day2,day2,day6,day6,day6,day6,day6,day6,day6,day6
ENSG00000211753,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000211931,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162641,5,5,13,0,12,0,4,1,3,4,3,1,2
ENSG00000248697,230,235,486,226,414,164,102,298,252,263,252,289,254
ENSG00000231466,52,72,118,54,119,32,16,63,32,33,32,57,83
ENSG00000252244,3,0,0,0,0,1,0,0,2,0,2,0,2
ENSG00000144118,6196,6644,13280,6747,9675,3621,2764,5440,5224,5678,5224,5304,6328
ENSG00000236472,4,1,2,0,0,2,0,0,0,1,0,0,0
ENSG00000270242,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104953,423,399,700,360,693,294,221,259,285,519,285,470,360
ENSG00000214812,314,292,584,312,475,111,117,267,228,218,228,212,278
ENSG00000267492,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243918,4,0,1,1,6,1,0,0,4,0,4,2,0
ENSG00000127720,47,54,142,55,115,26,12,94,37,58,37,47,60
ENSG00000272436,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249924,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186409,94,155,278,138,197,77,48,111,197,109,197,128,197
ENSG00000166317,50,27,44,20,88,6,3,17,4,31,4,19,10
ENSG00000164961,3389,3821,7930,3868,5573,1880,1451,3557,2952,3265,2952,2985,3820
ENSG00000230539,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000175305,438,439,927,435,729,153,95,311,246,271,246,190,308
ENSG00000276201,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147144,881,782,1563,782,1426,551,440,464,484,879,484,744,819
ENSG00000169583,263,245,417,212,370,139,134,86,139,237,139,205,189
ENSG00000278660,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239128,0,0,0,0,6,0,0,0,0,0,0,0,0
ENSG00000252431,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276923,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276991,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000078177,3105,3348,7430,3644,5191,1028,827,2808,2267,2090,2267,1975,3387
ENSG00000240233,0,1,2,0,0,2,0,7,4,0,4,0,0
ENSG00000270402,5,2,3,4,5,4,0,11,7,6,7,1,3
ENSG00000258804,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236937,2,0,12,10,5,0,0,0,0,0,0,0,0
ENSG00000132514,22,13,14,26,40,18,23,24,27,27,27,26,23
ENSG00000242992,1,14,14,16,2,10,1,3,0,4,0,2,7
ENSG00000257431,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000226112,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232295,0,0,0,0,0,0,0,0,6,0,6,0,0
ENSG00000231175,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000090857,5534,5139,10891,5375,9151,2697,2083,4890,3956,4970,3956,4480,4826
ENSG00000207051,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227776,0,1,0,0,1,0,0,0,6,1,6,0,0
ENSG00000108829,15837,16436,30940,13803,25048,9878,8339,14980,12806,15532,12806,13872,16482
ENSG00000111666,8223,7847,15379,7164,11710,4416,3275,6799,5521,6506,5521,5846,7193
ENSG00000282600,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000015592,0,5,0,0,1,1,1,0,0,0,0,0,3
ENSG00000266218,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162194,280,282,622,288,377,146,80,281,205,152,205,227,216
ENSG00000265980,0,0,1,0,0,0,0,0,6,0,6,0,0
ENSG00000248778,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278662,0,3,1,0,1,0,0,8,0,1,0,1,5
ENSG00000277854,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257067,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251545,1,13,3,0,4,0,0,4,0,1,0,0,0
ENSG00000279982,17,5,6,2,21,0,1,1,15,12,15,13,16
ENSG00000237980,10,4,9,4,6,1,1,5,1,14,1,5,13
ENSG00000152404,1403,1594,3405,1508,2296,911,704,1769,1580,1342,1580,1235,1838
ENSG00000232298,0,0,2,0,0,0,4,0,0,1,0,0,3
ENSG00000147400,907,980,2136,1019,1269,539,389,1318,967,1006,967,850,1055
ENSG00000278244,1,4,4,7,0,0,2,8,0,2,0,2,7
ENSG00000110047,12524,12082,19725,9723,17890,7240,5681,7698,6591,12167,6591,10244,10056
ENSG00000236698,2320,2484,4921,2254,3678,1225,836,2497,1911,1723,1911,1703,1870
ENSG00000110324,2825,2349,4525,2211,3790,2092,1648,2082,2112,2924,2112,2768,3054
ENSG00000224910,0,3,2,0,4,1,0,0,1,1,1,0,0
ENSG00000178202,3086,3362,7348,3555,5321,1069,844,2835,2188,2090,2188,2134,2899
ENSG00000266319,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005513,20,4,9,8,26,16,13,6,10,14,10,18,6
ENSG00000236599,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277542,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000199783,0,1,0,0,0,0,0,0,0,0,0,0,0
