GeneID,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
XLOC_136767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176533,37,57,17,24,39,54,27,12,18,22,25,79,12,37,34,16,46,119
XLOC_020536,4,0,2,1,0,4,3,15,0,8,2,0,5,2,2,0,3,0
XLOC_162194,4,38,11,14,2,16,1,0,10,3,8,9,0,4,6,8,23,7
XLOC_126417,3,6,3,1,3,3,2,0,6,1,8,3,1,3,13,1,2,7
ENSG00000108823,1,4,0,3,2,14,1,2,0,6,5,0,2,1,3,0,2,8
ENSG00000198429,16,4,59,50,42,80,6,97,94,36,100,88,26,5,111,30,50,52
XLOC_108121,0,3,17,0,1,26,4,0,0,0,16,32,1,4,0,0,1,15
XLOC_081603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10
ENSG00000169271,0,1,3,1,11,2,0,0,2,0,0,0,0,0,3,0,1,0
ENSG00000260613,0,9,0,0,4,2,0,14,5,9,0,10,1,8,3,1,6,0
XLOC_134400,1,2,1,2,3,2,1,0,0,0,0,4,2,0,6,0,1,2
XLOC_025346,0,0,1,6,33,12,1,0,5,1,2,2,0,1,19,0,8,5
XLOC_067876,22,78,148,28,74,173,10,8,36,19,121,77,15,9,45,17,99,44
XLOC_109713,0,0,28,1,2,5,0,0,0,1,0,2,0,0,0,0,4,7
XLOC_111721,2,2,6,11,0,1,15,7,3,1,3,4,1,9,3,0,0,24
XLOC_024315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_080688,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
XLOC_162092,1,11,56,20,78,36,6,108,20,12,20,8,0,19,8,1,9,49
XLOC_042504,0,0,0,12,1,3,92,8,13,0,5,5,82,21,3,3,15,2
ENSG00000223906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_155427,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
XLOC_139587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281472,3,17,4,30,3,6,3,0,0,5,23,4,6,1,9,2,11,9
ENSG00000169313,0,6,7,25,9,15,3,27,5,7,24,1,0,0,2,8,24,24
XLOC_164021,36,142,295,200,178,461,82,42,237,204,249,201,13,181,398,144,308,140
XLOC_057730,0,1,0,1,4,2,1,0,1,1,2,1,0,0,3,0,2,1
XLOC_146600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_115589,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,7
ENSG00000160131,50,82,151,52,379,247,86,134,159,66,168,398,52,80,304,47,262,384
XLOC_126384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
XLOC_089487,0,2,1,0,2,3,0,1,1,1,3,1,0,2,3,1,1,0
ENSG00000232900,0,0,11,2,7,3,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000267360,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,2,3,0
XLOC_062068,10,0,11,20,2,4,5,1,6,19,4,6,10,14,7,15,7,9
ENSG00000198646,199,513,469,653,705,929,575,342,473,570,497,874,354,366,828,398,623,646
XLOC_087802,0,0,0,0,0,0,0,0,4,0,0,0,0,0,26,0,0,8
ENSG00000261761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000129009,82,41,44,77,108,88,210,23,14,41,60,228,21,110,14,20,120,369
