name	chrom	strand	txStart	txEnd	proteinID
uc001aaa.3	chr1	+	11873	14409	
uc010nxr.1	chr1	+	11873	14409	
uc010nxq.1	chr1	+	11873	14409	B7ZGX9
uc009vis.3	chr1	-	14361	16765	
uc009vit.3	chr1	-	14361	19759	
uc009viu.3	chr1	-	14361	19759	
uc001aae.4	chr1	-	14361	19759	
uc001aah.4	chr1	-	14361	29370	
uc009vir.3	chr1	-	14361	29370	
uc009viq.3	chr1	-	14361	29370	
uc001aac.4	chr1	-	14361	29370	
uc009viv.2	chr1	-	14406	29370	
uc009viw.2	chr1	-	14406	29370	
uc009vix.2	chr1	-	15602	29370	
uc009vjd.2	chr1	-	15795	18061	
uc009viy.2	chr1	-	16606	29370	
uc009viz.2	chr1	-	16606	29370	
uc009vjc.1	chr1	-	16857	17751	
uc001aai.1	chr1	-	16857	19759	
uc010nxs.1	chr1	-	16857	29370	
uc009vjb.1	chr1	-	16857	29961	
uc009vje.2	chr1	-	17232	29370	
uc009vjf.2	chr1	-	17605	29370	
uc001aak.3	chr1	-	34610	36081	
uc001aal.1	chr1	+	69090	70008	Q8NH21
uc021oeg.2	chr1	-	134772	140566	C9J4L2
uc001aaq.2	chr1	+	321083	321115	
uc001aar.2	chr1	+	321145	321207	
uc009vjk.2	chr1	+	322036	326938	C9J4L2
uc001aau.3	chr1	+	323891	328581	C9J4L2
uc021oeh.1	chr1	+	324287	325896	F5H0Y1
uc021oei.1	chr1	+	327545	328439	
uc010nxu.2	chr1	+	367658	368597	Q6IEY1
uc001aax.1	chr1	+	420205	421839	
uc021oej.1	chr1	-	566092	566115	
uc021oek.1	chr1	-	566134	566155	
uc021oel.1	chr1	-	566239	566263	
uc001abb.3	chr1	+	568843	568913	
uc010nxv.2	chr1	-	621095	622034	Q6IEY1
uc001abe.4	chr1	-	661138	665731	B4DGA0
uc009vjm.3	chr1	-	661138	670994	B4DGA0
uc002khh.3	chr1	-	661138	679736	
uc001abi.2	chr1	-	668417	668479	
uc001abj.3	chr1	-	668509	668541	
uc010nxw.2	chr1	-	671823	671885	
uc001abl.3	chr1	-	671915	671947	
uc001abm.2	chr1	-	674239	679736	
uc001abo.3	chr1	-	700244	714068	
uc010nxx.2	chr1	-	761585	762902	A2ACH2
uc031pjj.1	chr1	+	762970	778984	
uc001abp.2	chr1	+	762970	794826	
uc021oem.2	chr1	+	762970	794826	
uc009vjn.2	chr1	+	762970	794826	
uc009vjo.2	chr1	+	762970	794826	
uc031pjk.1	chr1	+	763177	794826	
uc001abt.4	chr1	-	803450	812182	
uc001abu.1	chr1	+	846814	850328	
uc010nxy.1	chr1	-	852952	854817	
uc010nxz.1	chr1	-	852952	854817	
uc001abv.1	chr1	+	860529	871276	I7FV97
uc001abw.1	chr1	+	861120	879961	NP_689699
uc031pjl.1	chr1	+	861301	879533	I7FV78
uc031pjm.1	chr1	+	861301	879533	I7FC27
uc031pjn.1	chr1	+	861301	879533	
uc031pjo.1	chr1	+	861301	879961	
uc031pjp.1	chr1	+	861301	879961	Q96NU1
uc031pjq.1	chr1	+	861301	879961	H7BY14
uc031pjr.1	chr1	+	861301	879961	Q96NU1
uc031pjs.1	chr1	+	861301	879961	I7F465
uc031pjt.1	chr1	+	861301	879961	Q96NU1
uc031pju.1	chr1	+	861301	879961	I7G276
uc031pjv.1	chr1	+	861301	879961	Q96NU1
uc031pjw.1	chr1	+	861301	879961	
uc031pjx.1	chr1	+	861301	879961	I7G0Z6
uc031pjy.1	chr1	+	861301	879961	H7BY14
uc031pjz.1	chr1	+	861301	879961	
uc031pka.1	chr1	+	861301	879961	I7FC29
uc031pkb.1	chr1	+	861301	879961	Q96NU1
uc031pkc.1	chr1	+	861301	879961	I7F467
uc031pkd.1	chr1	+	861301	879961	
uc031pke.1	chr1	+	861301	879961	Q96NU1
uc031pkf.1	chr1	+	861301	879961	
uc031pkg.1	chr1	+	861301	879961	I7F472
uc031pkh.1	chr1	+	861301	879961	I7FC29
uc031pki.1	chr1	+	861301	879961	I7G283
uc031pkj.1	chr1	+	861301	879961	I7G101
uc031pkk.1	chr1	+	861301	879961	
uc031pkl.1	chr1	+	861301	879961	
uc001abx.2	chr1	+	861301	879961	Q96NU1-1
uc031pkm.1	chr1	+	861301	879961	I7FC33
uc031pkn.1	chr1	+	861301	879961	
uc031pko.1	chr1	+	874654	879533	H7C3J6
uc031pkp.1	chr1	+	876523	879961	Q96NU1
uc031pkq.1	chr1	-	879582	882440	Q8NAK7
uc001aby.4	chr1	-	879582	893918	Q9H9J5
uc001abz.4	chr1	-	879582	894679	NP_056473
uc009vjq.3	chr1	-	879582	894679	Q9Y3T9
uc009vjr.2	chr1	-	893648	894679	
uc001aca.2	chr1	+	895966	901099	Q6TDP4
uc001acb.1	chr1	+	896828	897858	Q86XA8
